word,level,language
I,0,eng
a,0,eng
able,1,eng
about,2,eng
above,2,eng
across,3,eng
act,0,eng
active,3,eng
activity,5,eng
add,0,eng
added,2,eng
afraid,3,eng
after,2,eng
again,2,eng
age,0,eng
ago,0,eng
agree,2,eng
ahead,2,eng
aid,0,eng
air,0,eng
all,0,eng
almost,3,eng
alone,2,eng
along,2,eng
already,4,eng
also,1,eng
always,3,eng
am,0,eng
among,2,eng
amount,3,eng
an,0,eng
and,0,eng
angry,2,eng
another,4,eng
answer,3,eng
ant,0,eng
any,0,eng
anyone,3,eng
anything,5,eng
anytime,4,eng
appear,3,eng
apple,2,eng
are,0,eng
area,1,eng
arm,0,eng
arms,1,eng
army,1,eng
around,3,eng
arrive,3,eng
art,0,eng
as,0,eng
ask,0,eng
at,0,eng
attack,3,eng
attention,6,eng
aunt,1,eng
autumn,3,eng
away,1,eng
baby,1,eng
back,1,eng
bad,0,eng
bag,0,eng
ball,1,eng
bank,1,eng
base,1,eng
based,2,eng
basic,2,eng
basket,3,eng
bat,0,eng
bath,1,eng
be,0,eng
bean,1,eng
bear,1,eng
beautiful,6,eng
because,4,eng
become,3,eng
bed,0,eng
bedroom,4,eng
bee,0,eng
been,1,eng
beer,1,eng
before,3,eng
begin,2,eng
beginning,6,eng
behave,3,eng
behind,3,eng
being,2,eng
believe,4,eng
bell,1,eng
below,2,eng
besides,4,eng
best,1,eng
better,3,eng
between,4,eng
beyond,3,eng
big,0,eng
bird,1,eng
birth,2,eng
birthday,5,eng
bit,0,eng
bite,1,eng
black,2,eng
bleed,2,eng
block,2,eng
blood,2,eng
blow,1,eng
blue,1,eng
board,2,eng
boat,1,eng
body,1,eng
boil,1,eng
bone,1,eng
book,1,eng
border,3,eng
born,1,eng
borrow,3,eng
both,1,eng
bottle,3,eng
bottom,3,eng
bowl,1,eng
box,0,eng
boy,0,eng
branch,3,eng
brave,2,eng
bread,2,eng
break,2,eng
breakfast,6,eng
breathe,4,eng
bridge,3,eng
bright,3,eng
bring,2,eng
brother,4,eng
brown,2,eng
brush,2,eng
bug,0,eng
build,2,eng
building,5,eng
built,2,eng
burn,1,eng
bus,0,eng
business,5,eng
busy,1,eng
but,0,eng
butt,1,eng
buy,0,eng
by,0,eng
cake,1,eng
call,1,eng
came,1,eng
can,0,eng
candle,3,eng
cannot,3,eng
cap,0,eng
car,0,eng
card,1,eng
care,1,eng
careful,4,eng
careless,5,eng
carry,2,eng
case,1,eng
cat,0,eng
catch,2,eng
cause,2,eng
cent,1,eng
center,3,eng
central,4,eng
century,4,eng
certain,4,eng
chair,2,eng
chance,3,eng
change,3,eng
character,6,eng
chase,2,eng
cheap,2,eng
cheese,3,eng
chicken,4,eng
chief,2,eng
child,2,eng
children,5,eng
chocolate,6,eng
choice,3,eng
choose,3,eng
church,3,eng
circle,3,eng
city,1,eng
class,2,eng
clean,2,eng
clear,2,eng
clever,3,eng
climb,2,eng
clock,2,eng
close,2,eng
cloth,2,eng
clothes,4,eng
cloud,2,eng
cloudy,3,eng
club,1,eng
coat,1,eng
coffee,3,eng
coin,1,eng
cold,1,eng
collect,4,eng
college,4,eng
color,2,eng
colour,3,eng
comb,1,eng
come,1,eng
common,3,eng
community,6,eng
compare,4,eng
complete,5,eng
computer,5,eng
concern,4,eng
condition,6,eng
consider,5,eng
contain,4,eng
continue,5,eng
control,4,eng
cook,1,eng
cool,1,eng
copper,3,eng
corn,1,eng
corner,3,eng
correct,4,eng
cost,1,eng
could,2,eng
count,2,eng
country,4,eng
couple,3,eng
course,3,eng
court,2,eng
cover,2,eng
cow,0,eng
crash,2,eng
cross,2,eng
cry,0,eng
cup,0,eng
cupboard,5,eng
cut,0,eng
dad,0,eng
daily,2,eng
dance,2,eng
dangerous,6,eng
dark,1,eng
data,1,eng
daughter,5,eng
day,0,eng
dead,1,eng
deal,1,eng
death,2,eng
decide,3,eng
